Auvergne-Rhône-Alpes : Lyon - Saint-Étienne - Grenoble
Bourgogne-Franche-Comté : Dijon - Besançon - Belfort
Bretagne : Rennes - Brest - Quimper
Centre-Val de Loire : Tours - Orléans - Bourges
Corse : Ajaccio - Bastia - Porto-Vecchio
Grand Est : Strasbourg - Reims - Metz
Hauts-de-France : Lille - Amiens - Roubaix
Île-de-France : Paris - Boulogne-Billancourt - Saint-Denis
Normandie : Le Havre - Rouen - Caen
Nouvelle-Aquitaine : Bordeaux - Limoges - Poitiers
Occitanie : Toulouse - Montpellier - Nîmes
Pays de la Loire : Nantes - Angers - Le Mans
Provence-Alpes-Côte d'Azur : Marseille - Nice - Toulon
